No. Time Source Destination Protocol Length Info
122 1.016117 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 89870 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
123 1.016119 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 91330 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
124 1.01612 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 92790 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
127 1.017743 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 43150 Win = 64128 Len = 0
128 1.017743 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 46070 Win = 64128 Len = 0
129 1.017743 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 48990 Win = 64128 Len = 0
130 1.017776 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 94250 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
131 1.01778 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 95710 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
132 1.017784 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 97170 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
133 1.017786 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [PSH  ACK] Seq = 98630 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
134 1.017788 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 100090 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
135 1.01779 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 101550 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
136 1.017791 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 103010 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
